product_id,name,category,unit_price,cost,supplier,launch_date
P001,Widget A,Electronics,29.99,12.50,TechSupply Co,2023-01-15
P002,Widget B,Electronics,49.99,22.00,TechSupply Co,2023-03-20
P003,Gadget X,Home,15.99,6.75,HomeGoods Inc,2023-06-01
P004,Gadget Y,Home,89.99,45.00,HomeGoods Inc,2023-09-10
P005,Device Z,Electronics,149.99,72.00,TechSupply Co,2024-01-05
P006,Tool Alpha,Industrial,199.99,95.00,Industrial Plus,2024-02-28
P007,Tool Beta,Industrial,249.99,120.00,Industrial Plus,2024-04-15
P008,Accessory M,Electronics,19.99,8.00,TechSupply Co,2023-07-22
P009,Accessory N,Home,24.99,10.50,HomeGoods Inc,2023-11-30
P010,Kit Pro,Industrial,399.99,185.00,Industrial Plus,2024-06-01
